size,color,clarity,price
0.03,F,VVS2,7.4
0.03,F,VS2,6.7
0.03,F,SI1,5.9
0.03,F,SI2,5.2
0.03,F,SI3,4.3
0.03,F,I1,3.8
0.03,F,I2,3.3
0.03,F,I3,2.6
0.03,H,VVS2,6.7
0.03,H,VS2,6
0.03,H,SI1,5.3
0.03,H,SI2,4.7
0.03,H,SI3,4
0.03,H,I1,3.5
0.03,H,I2,2.9
0.03,H,I3,2.4
0.03,J,VVS2,6.1
0.03,J,VS2,5.5
0.03,J,SI1,4.9
0.03,J,SI2,4.3
0.03,J,SI3,3.6
0.03,J,I1,3.1
0.03,J,I2,2.6
0.03,J,I3,2.2
0.03,L,VVS2,4.3
0.03,L,VS2,3.8
0.03,L,SI1,3.4
0.03,L,SI2,3
0.03,L,SI3,2.7
0.03,L,I1,2.3
0.03,L,I2,1.9
0.03,L,I3,1.5
0.03,N,VVS2,2.9
0.03,N,VS2,2.5
0.03,N,SI1,2.2
0.03,N,SI2,1.9
0.03,N,SI3,1.7
0.03,N,I1,1.5
0.03,N,I2,1.3
0.03,N,I3,1.1
0.07,F,VVS2,8.5
0.07,F,VS2,7.7
0.07,F,SI1,6.6
0.07,F,SI2,5.7
0.07,F,SI3,4.8
0.07,F,I1,4.2
0.07,F,I2,3.7
0.07,F,I3,2.8
0.07,H,VVS2,7.2
0.07,H,VS2,6.5
0.07,H,SI1,5.8
0.07,H,SI2,5.1
0.07,H,SI3,4.4
0.07,H,I1,3.9
0.07,H,I2,3.4
0.07,H,I3,2.6
0.07,J,VVS2,6.6
0.07,J,VS2,5.9
0.07,J,SI1,5.3
0.07,J,SI2,4.7
0.07,J,SI3,4.1
0.07,J,I1,3.6
0.07,J,I2,3.1
0.07,J,I3,2.4
0.07,L,VVS2,4.6
0.07,L,VS2,4.1
0.07,L,SI1,3.7
0.07,L,SI2,3.3
0.07,L,SI3,2.9
0.07,L,I1,2.5
0.07,L,I2,2.1
0.07,L,I3,1.6
0.07,N,VVS2,3.1
0.07,N,VS2,2.7
0.07,N,SI1,2.4
0.07,N,SI2,2.1
0.07,N,SI3,1.8
0.07,N,I1,1.6
0.07,N,I2,1.4
0.07,N,I3,1.2
0.14,F,VVS2,9.8
0.14,F,VS2,8.9
0.14,F,SI1,7.9
0.14,F,SI2,7
0.14,F,SI3,6.3
0.14,F,I1,5.4
0.14,F,I2,4.5
0.14,F,I3,3.7
0.14,H,VVS2,8.6
0.14,H,VS2,7.9
0.14,H,SI1,7.1
0.14,H,SI2,6.4
0.14,H,SI3,5.8
0.14,H,I1,4.9
0.14,H,I2,4.1
0.14,H,I3,3.4
0.14,J,VVS2,7.8
0.14,J,VS2,7.1
0.14,J,SI1,6.5
0.14,J,SI2,5.9
0.14,J,SI3,5.3
0.14,J,I1,4.5
0.14,J,I2,3.7
0.14,J,I3,3
0.14,L,VVS2,6.2
0.14,L,VS2,5.6
0.14,L,SI1,5
0.14,L,SI2,4.4
0.14,L,SI3,3.8
0.14,L,I1,3.2
0.14,L,I2,2.6
0.14,L,I3,2.1
0.14,N,VVS2,4.1
0.14,N,VS2,3.7
0.14,N,SI1,3.3
0.14,N,SI2,2.9
0.14,N,SI3,2.5
0.14,N,I1,2.1
0.14,N,I2,1.8
0.14,N,I3,1.4
0.17,F,VVS2,11.8
0.17,F,VS2,10.5
0.17,F,SI1,9.2
0.17,F,SI2,8.2
0.17,F,SI3,7.2
0.17,F,I1,5.9
0.17,F,I2,4.8
0.17,F,I3,4
0.17,H,VVS2,10.4
0.17,H,VS2,9.3
0.17,H,SI1,8.2
0.17,H,SI2,7.2
0.17,H,SI3,6.4
0.17,H,I1,5.3
0.17,H,I2,4.3
0.17,H,I3,3.7
0.17,J,VVS2,9.5
0.17,J,VS2,8.5
0.17,J,SI1,7.4
0.17,J,SI2,6.5
0.17,J,SI3,5.7
0.17,J,I1,4.8
0.17,J,I2,3.9
0.17,J,I3,3.3
0.17,L,VVS2,7.3
0.17,L,VS2,6.4
0.17,L,SI1,5.6
0.17,L,SI2,4.8
0.17,L,SI3,4.1
0.17,L,I1,3.4
0.17,L,I2,2.8
0.17,L,I3,2.4
0.17,N,VVS2,5
0.17,N,VS2,4.4
0.17,N,SI1,3.9
0.17,N,SI2,3.4
0.17,N,SI3,2.9
0.17,N,I1,2.4
0.17,N,I2,2
0.17,N,I3,1.7
